"Paintings_name","Paintings_Price"
"1. Cezanne: The Card Players","$338.4m"
"2. Renoir: Bal du Moulin de la Galette","$78 million"
"3. Cezanne: Mont Saint Victoire","$100 million"
"4. Monet: Le Bassin aux Nymphéas","£40.9 million"
"5. Cezanne: Rideau, Cruchon et Compotier","$60.5 million"
"6. Monet: Haystacks","$110.7 million"
"7. Monet: Haystacks","$81.4 million"
"8. Monet: Nympheas en Fleur","$84,687,500"
"9. Manet: Spring (Jeanne Demarsy)","$65 million"
"10. Monet: Nympheas","$43.72 million"
"11. Degas: Danseuse en Repos","$37 million"
"12. Manet: Self-Portrait with a Palette","£22 million"
"13. Pissarro: Boulevard Montmartre (Spring Morning)","£19.9 million"
"14. Monet: Le Palais Ducal","£27,534,000"
"15. Monet: Exterieur de la Gare Saint-Lazare","$32.9 million"
"16. Monet: Exterieur de la Gare Saint-Lazare","£24.9 million"
"17. Monet: Le Bassin Aux Nympheas","$31,812,500"
"18. Monet: Poplars","$22,482,500"
"19. Monet: Nympheas","£21,000,000"
"20. Monet: Matinée sur la Seine","$23,375,000"
"21. Monet: Les Glaccons Bennecourt","$23,372,500"